,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
132,yuanping,38.72,112.76,-2.77,69,18,1.22,CN
133,itupiranga,-5.13,-49.33,23.69,93,98,1.38,BR
134,coari,-4.08,-63.14,23.64,94,97,0.12,BR
135,akyab,20.15,92.9,25.9,42,71,0.47,MM
136,ancud,-41.87,-73.82,13.89,87,75,2.1,CL
137,sangar,63.92,127.47,-41.8,78,78,2.07,RU
138,korla,41.76,86.15,-6.41,80,15,4.69,CN
139,kaitangata,-46.28,169.85,16.67,74,100,3.17,NZ
140,hit,33.64,42.83,12.26,42,0,3.09,IQ
141,bilma,18.69,12.92,18.72,25,0,2.26,NE
142,sterling,39.01,-77.43,5.56,80,75,3.1,US
143,san cristobal,7.77,-72.22,18.22,83,34,0.29,VE
144,lebu,-37.62,-73.65,14.65,93,21,6.36,CL
145,saint-pierre,-21.34,55.48,27.0,61,0,11.8,RE
146,huntsville,34.73,-86.59,7.22,75,90,4.6,US
147,popondetta,-8.75,148.25,31.7,57,78,2.85,PG
148,ponta do sol,32.67,-17.1,15.0,67,75,3.6,PT
149,elk city,35.41,-99.4,5.0,75,1,4.6,US
150,namie,37.48,141.0,5.0,51,13,3.92,JP
151,celestun,20.87,-90.4,23.16,88,100,8.35,MX
152,kapaa,22.08,-159.32,24.0,73,40,7.7,US
153,andenes,69.31,16.12,2.0,79,97,2.6,NO
154,barrow,71.29,-156.79,-23.0,69,90,2.1,US
155,poltavka,54.37,71.76,-35.2,84,0,3.56,RU
156,waingapu,-9.66,120.26,31.13,62,99,3.62,ID
157,havelock,34.88,-76.9,17.0,100,90,2.1,US
158,lianran,24.92,102.48,16.11,58,0,5.0,CN
159,sao joao da barra,-21.64,-41.05,21.97,90,100,2.13,BR
160,geraldton,-28.77,114.6,37.0,19,0,5.7,AU
161,pisco,-13.7,-76.22,20.0,88,0,5.1,PE
162,mayumba,-3.43,10.66,24.63,88,97,0.57,GA
163,biu,10.61,12.19,19.03,26,0,2.69,NG
164,kokstad,-30.55,29.42,18.28,71,92,1.19,ZA
165,roma,43.21,-75.46,-1.0,80,90,3.1,US
166,srednekolymsk,67.45,153.68,-29.1,87,100,2.87,RU
167,ukiah,39.15,-123.21,11.0,81,90,1.5,US
168,neyvo-shaytanskiy,57.73,61.25,-21.04,90,100,4.38,RU
169,nyzhnya krynka,48.11,38.16,0.1,96,0,2.06,UA
170,saldanha,-33.01,17.94,16.0,72,0,2.1,ZA
171,lavrentiya,65.58,-171.0,-21.81,88,0,6.94,RU
172,sasso marconi,44.4,11.25,5.0,100,0,2.1,IT
173,asau,46.43,26.4,0.56,70,64,1.44,RO
174,sambava,-14.27,50.17,26.1,81,55,6.25,MG
